Country,Mal_Prev,Mal2,UN.Regions,SSA,UN.Sub.Region,Year,Height_Age_N,stunt,stunt_n,wasted,Weight_Height_N,wasted_n,Weight_Age_N,underweight,underweight_n
Cote d'Ivoire,35,35,Africa,Sub-Saharan Africa,Western Africa,2012,3581,29.8,1067,7.5,3581,269,3581,14.9,534
Gambia,2.4,2.4,Africa,Sub-Saharan Africa,Western Africa,2013,3372,24.5,826,11.5,3372,388,3372,16.2,546
Ghana,36,36,Africa,Sub-Saharan Africa,Western Africa,2014,2895,18.8,544,4.7,2895,136,2895,11,318
Guinea,36.8,36.8,Africa,Sub-Saharan Africa,Western Africa,2012,3531,31.2,1102,9.6,3531,339,3531,18,636
Liberia,44.7,44.7,Africa,Sub-Saharan Africa,Western Africa,2013,3520,31.6,1112,6,3520,211,3520,15,528
Mali,18.9,18.9,Africa,Sub-Saharan Africa,Western Africa,2013,4857,38.3,1860,12.7,4857,617,4857,25.5,1239
Niger,36,36,Africa,Sub-Saharan Africa,Western Africa,2012,5481,43.9,2406,18,5481,987,5481,36.4,1995
Nigeria,36.2,36.2,Africa,Sub-Saharan Africa,Western Africa,2013,26190,36.8,9638,18,26190,4714,26190,28.7,7517
Senegal,0.9,0.9,Africa,Sub-Saharan Africa,Western Africa,2017,10864,16.5,1793,8.9,10980,977,10910,14.3,1560
Sierra Leone,52.7,52.7,Africa,Sub-Saharan Africa,Western Africa,2013,5094,37.9,1931,9.3,5094,474,5094,16.4,835
Togo,37.8,37.8,Africa,Sub-Saharan Africa,Western Africa,2014,3282,27.5,903,6.5,3282,213,3282,16,525
Armenia,0,,Asia,West Asia,Western Asia,2016,1573,9.4,148,4,1555,62,1609,2.4,39
Azerbaijan,0,,Asia,West Asia,Western Asia,2006,1979,25.1,497,6.8,1979,135,1979,7.7,152
Turkey,0,,Asia,West Asia,Western Asia,2013,2519,9.5,239,10.9,2519,275,2519,5.2,131
Yemen,2.2,,Asia,West Asia,Western Asia,2013,13823,46.5,6428,16.3,13823,2253,13823,39,5391
